id_ccbh,interpro_go_id
PA4851_00915,P:GO:0006935
PA4851_00915,P:GO:0007165
PA4851_00915,P:GO:0016310
PA4851_00915,F:GO:0016772
PA4851_00920,P:GO:0000160
PA4851_00925,F:GO:0004888
PA4851_00925,P:GO:0006935
PA4851_00925,P:GO:0007165
PA4851_00925,C:GO:0016020
PA4851_00930,F:GO:0003700
PA4851_00930,P:GO:0006355
PA4851_00935,no GO terms
PA4851_00940,F:GO:0003824
PA4851_00940,F:GO:0008484
PA4851_00945,F:GO:0005524
PA4851_00945,F:GO:0016887
PA4851_00950,C:GO:0016020
PA4851_00950,P:GO:0055085
PA4851_00955,no GO terms
PA4851_00960,F:GO:0016491
PA4851_00960,P:GO:0055114
PA4851_00965,C:GO:0016021
PA4851_00965,P:GO:0055085
PA4851_00970,C:GO:0016021
PA4851_00975,F:GO:0003993
PA4851_00975,C:GO:0030288
PA4851_00980,F:GO:0003700
PA4851_00980,P:GO:0006355
PA4851_00985,no GO terms
PA4851_00990,F:GO:0016491
PA4851_00990,P:GO:0055114
PA4851_00995,F:GO:0016491
PA4851_00995,P:GO:0055114
PA4851_01000,no GO terms
PA4851_01005,no GO terms
PA4851_01010,F:GO:0008750
PA4851_01010,C:GO:0016021
PA4851_01010,F:GO:0050661
PA4851_01010,P:GO:0055114
PA4851_01015,F:GO:0015343
PA4851_01015,P:GO:0015891
PA4851_01015,C:GO:0030288
PA4851_01015,F:GO:0031992
PA4851_01015,P:GO:0055085
PA4851_01020,no GO terms
PA4851_01025,F:GO:0022857
PA4851_01025,P:GO:0055085
PA4851_01030,no GO terms
PA4851_01035,F:GO:0016787
PA4851_01040,no GO terms
PA4851_01045,F:GO:0005524
PA4851_01045,P:GO:0016310
PA4851_01045,F:GO:0046917
PA4851_01050,no GO terms
PA4851_01055,F:GO:0016831
PA4851_01055,P:GO:0044262
PA4851_01060,F:GO:0016874
PA4851_01060,P:GO:0044262
PA4851_01065,F:GO:0016779
PA4851_01070,F:GO:0016740
PA4851_01075,C:GO:0016020
PA4851_01080,F:GO:0044668
PA4851_01085,F:GO:0003700
PA4851_01085,P:GO:0006355
PA4851_01090,F:GO:0003700
PA4851_01090,P:GO:0006355
PA4851_01095,F:GO:0016491
PA4851_01095,F:GO:0016620
PA4851_01095,P:GO:0055114
PA4851_01100,C:GO:0016020
PA4851_01100,F:GO:0022857
PA4851_01100,P:GO:0055085
PA4851_01105,F:GO:0003824
PA4851_01105,F:GO:0008483
PA4851_01105,F:GO:0030170
PA4851_01110,no GO terms
PA4851_01115,F:GO:0003824
PA4851_01115,F:GO:0016829
PA4851_01120,no GO terms
PA4851_01125,F:GO:0003677
PA4851_01125,F:GO:0043565
PA4851_01130,F:GO:0008410
PA4851_01135,F:GO:0008410
PA4851_01140,F:GO:0003824
PA4851_01140,F:GO:0016747
PA4851_01140,P:GO:0019619
PA4851_01145,C:GO:0016021
PA4851_01145,F:GO:0022857
PA4851_01145,P:GO:0055085
PA4851_01150,F:GO:0003824
PA4851_01150,P:GO:0019619
PA4851_01150,F:GO:0047472
PA4851_01155,P:GO:0042952
PA4851_01155,F:GO:0047570
PA4851_01160,F:GO:0051920
PA4851_01160,P:GO:0055114
PA4851_01165,F:GO:0003700
PA4851_01165,P:GO:0006355
PA4851_01170,C:GO:0009279
PA4851_01175,C:GO:0016021
PA4851_01175,F:GO:0022857
PA4851_01175,P:GO:0055085
PA4851_01180,F:GO:0003677
PA4851_01180,P:GO:0006355
PA4851_01185,F:GO:0016491
PA4851_01185,P:GO:0055114
PA4851_01190,no GO terms
PA4851_01195,C:GO:0016020
PA4851_01195,C:GO:0016021
PA4851_01200,C:GO:0016021
PA4851_01205,C:GO:0016021
PA4851_01205,P:GO:0055085
PA4851_01210,no GO terms
PA4851_01215,F:GO:0003677
PA4851_01220,F:GO:0004764
PA4851_01220,P:GO:0055114
PA4851_01225,F:GO:0003855
PA4851_01230,C:GO:0016021
PA4851_01230,F:GO:0022857
PA4851_01230,P:GO:0055085
PA4851_01235,F:GO:0018659
PA4851_01235,P:GO:0043639
PA4851_01235,F:GO:0050660
PA4851_01235,P:GO:0055114
PA4851_01235,F:GO:0071949
PA4851_01240,F:GO:0003677
PA4851_01240,F:GO:0003700
PA4851_01240,P:GO:0006355
PA4851_01240,F:GO:0043565
PA4851_01245,no GO terms
PA4851_01250,no GO terms
PA4851_01255,no GO terms
PA4851_01260,no GO terms
PA4851_01265,F:GO:0003700
PA4851_01265,P:GO:0006355
PA4851_01270,F:GO:0016831
PA4851_01275,no IPS match
PA4851_01280,no GO terms
PA4851_01285,no IPS match
PA4851_01290,P:GO:0032196
PA4851_01295,no IPS match
PA4851_01300,no GO terms
PA4851_01305,no GO terms
PA4851_01310,no IPS match
PA4851_01315,no GO terms
PA4851_01320,no GO terms
PA4851_01330,no GO terms
PA4851_01335,F:GO:0009013
PA4851_01335,P:GO:0009450
PA4851_01335,F:GO:0016491
